,GVKEY
638,29496
639,29497
640,29677
641,29697
642,29706
643,29710
644,29729
645,29759
646,29764
647,29826
648,29829
649,29837
650,29852
651,29874
652,29939
653,29955
654,29992
655,30007
656,30012
657,30095
658,30109
659,30137
660,30161
661,30175
662,30185
663,30194
664,30205
665,30236
666,30239
667,30255
668,30257
669,30265
670,30281
671,30283
672,30291
673,30352
674,30361
675,30405
676,30442
677,30451
678,30546
679,30554
680,30561
681,30612
682,30618
683,30641
684,30645
685,30674
686,30774
687,30775
688,30837
689,30843
690,30891
691,30910
692,30921
693,30928
694,30971
695,31015
696,31027
697,31037
698,31096
699,31114
700,31166
701,31223
702,31229
703,31300
704,31351
705,31394
706,31418
707,31459
708,31484
709,31503
710,31516
711,31518
712,31549
713,31568
714,31614
715,31616
716,31635
717,31673
718,31689
719,31706
720,31751
721,31761
722,31793
723,31821
724,31887
725,60796
726,60835
727,60857
728,60875
729,60897
730,60906
731,60950
732,61047
733,61059
734,61061
735,61101
736,61108
737,61131
738,61140
739,61148
740,61166
741,61167
742,61174
743,61181
744,61271
745,61276
746,61325
747,61399
748,61414
749,61430
750,61433
751,61435
752,61437
753,61448
754,61462
755,61483
756,61490
757,61494
758,61496
759,61523
760,61527
761,61564
762,61566
763,61574
764,61584
765,61600
766,61644
767,61655
768,61673
769,61691
770,61703
771,61706
772,61711
773,61723
774,61745
775,61750
776,61765
777,61781
778,61831
779,61836
780,61858
781,61871
782,61872
783,61895
784,61899
785,61900
786,61901
787,61940
788,61974
789,61976
790,61979
791,61980
792,61982
793,61996
794,62027
795,62036
796,62046
797,62055
798,62056
799,62070
800,62073
801,62077
802,62109
803,62110
804,62117
805,62122
806,62133
807,62168
808,62170
809,62200
810,62215
811,62231
812,62236
813,62237
814,62263
815,62275
816,62276
817,62288
818,62327
819,62336
820,62382
821,62395
822,62412
823,62465
824,62471
825,62475
826,62488
827,62497
828,62505
829,62525
830,62526
831,62592
832,62632
833,62666
834,62683
835,62700
836,62705
837,62728
838,62761
839,62784
840,62809
841,62821
842,62826
843,62846
844,62860
845,62874
846,62885
847,62889
848,62911
849,62913
850,62921
851,62923
852,62948
853,62954
854,62960
855,62966
856,62967
857,62977
858,62990
859,62993
860,63004
861,63005
862,63018
863,63029
864,63030
865,63038
866,63051
867,63062
868,63078
869,63081
870,63082
871,63083
872,63084
873,63100
874,63122
875,63128
876,63162
877,63186
878,63246
879,63291
880,63297
881,63312
882,63374
883,63385
884,63405
885,63418
886,63427
887,63430
888,63442
889,63446
890,63478
891,63490
892,63562
893,63604
894,63617
895,63645
896,63650
897,63676
898,63690
899,63700
900,63728
901,63758
902,63789
903,63790
904,63800
905,63804
906,63866
907,63882
908,63899
909,63901
910,63934
911,63941
912,63945
913,63979
914,63990
915,63996
916,63997
917,64004
918,64014
919,64057
920,64132
921,64162
922,64166
923,64182
924,64197
925,64209
926,64308
927,64314
928,64327
929,64332
930,64334
931,64335
932,64341
933,64360
934,64367
935,64375
936,64382
937,64392
938,64404
939,64412
940,64497
941,64515
942,64542
943,64583
944,64590
945,64608
946,64675
947,64680
948,64767
949,64786
950,64807
951,64839
952,64840
953,64857
954,64865
955,64929
956,64931
957,65011
958,65014
959,65016
960,65034
961,65042
962,65072
963,65082
964,65109
965,65124
966,65169
967,65173
968,65189
969,65217
970,65218
971,65243
972,65250
973,65264
974,65280
975,65303
976,65310
977,65317
978,65368
979,65376
980,65379
981,65389
982,65404
983,65433
984,65455
985,65463
986,65553
987,65578
988,65587
989,65669
990,65681
991,65703
992,65709
993,65732
994,65737
995,65760
996,65771
997,65772
998,65783
999,65788
1000,65803
1001,65812
1002,65832
1003,65838
1004,65872
1005,65876
1006,65893
1007,65905
1008,65930
1009,65944
1010,65967
1011,65991
1012,66027
1013,66042
1014,66060
1015,66198
1016,66204
1017,66225
1018,66242
1019,66244
1020,66269
1021,66366
1022,66374
1023,66416
1024,66426
1025,66435
1026,66445
1027,66451
1028,66459
1029,66552
1030,66564
1031,66571
1032,66588
1033,66610
1034,66616
1035,66630
1036,66651
1037,66659
1038,66683
1039,66697
1040,66698
1041,66726
1042,66728
1043,100080
1044,100418
1045,100423
1046,101076
1047,101204
1048,101256
1049,101310
1050,101317
1051,102045
1052,104850
1053,104904
1054,105230
1055,105574
1056,105700
1057,105827
1058,105851
1059,105932
1060,106100
1061,106169
1062,106179
1063,106239
1064,106261
1065,106265
1066,106271
1067,106322
1068,106365
1069,106501
1070,106589
1071,106608
1072,106716
1073,106789
1074,106808
1075,106813
1076,106915
1077,107265
1078,107481
1079,107606
1080,107648
1081,107769
1082,107843
1083,108145
1084,108516
1085,108564
1086,108631
1087,108695
1088,108699
1089,108718
1090,108753
1091,108794
1092,109246
1093,109247
1094,109423
1095,109425
1096,109522
1097,109580
1098,109823
1099,109925
1100,109930
1101,110484
1102,110620
1103,110728
1104,111022
1105,111492
1106,111581
1107,111965
1108,112001
1109,112033
1110,112167
1111,112178
1112,112408
1113,112754
1114,112814
1115,112819
1116,112881
1117,113178
1118,113270
1119,113460
1120,113533
1121,113612
1122,113646
1123,114351
1124,114656
1125,115081
1126,115181
1127,115237
1128,115307
1129,115747
1130,115750
1131,115918
1132,116025
1133,116389
1134,116668
1135,116829
1136,116903
1137,117029
1138,117116
1139,117142
1140,117298
1141,117829
1142,118081
1143,118577
1144,118634
1145,118733
1146,119053
1147,119216
1148,119297
1149,119753
1150,120051
1151,120113
1152,120297
1153,120302
1154,121375
1155,121440
1156,121762
1157,121819
1158,122060
1159,122114
1160,122143
1161,122219
1162,122255
1163,122257
1164,122315
1165,122376
1166,122916
1167,123017
1168,124050
1169,124555
1170,124634
1171,124636
1172,124638
1173,125000
1174,125460
1175,125528
1176,125531
1177,125714
1178,125794
1179,126006
1180,126122
1181,126455
1182,126554
1183,126769
1184,126772
1185,126797
1186,127034
1187,127234
1188,127254
1189,127384
1190,127439
1191,127455
1192,127456
1193,127481
1194,127484
1195,127494
1196,127514
1197,127736
1198,128021
1199,128098
1200,128358
1201,128599
1202,128663
1203,129441
1204,129466
1205,129632
1206,129848
1207,130200
1208,132539
1209,132641
1210,132802
1211,133164
1212,133246
1213,133249
1214,133328
1215,133366
1216,133424
1217,133468
1218,133504
1219,133724
1220,133729
1221,133731
1222,133766
1223,133868
1224,133871
1225,133885
1226,134308
1227,134451
1228,134685
1229,134869
1230,135004
1231,135165
1232,135247
1233,135345
1234,135787
1235,135986
1236,136186
1237,136310
1238,136725
1239,136804
1240,136809
1241,136884
1242,137069
1243,137090
1244,137131
1245,137136
1246,137150
1247,137250
1248,137642
1249,137722
1250,137801
1251,137803
1252,137883
1253,138003
1254,138121
1255,138122
1256,138123
1257,138126
1258,138129
1259,138203
1260,138205
1261,138341
1262,138343
1263,138404
1264,138464
1265,138466
1266,138470
1267,138483
1268,138490
1269,138608
1270,138641
1271,138662
1272,138703
1273,138705
1274,138707
1275,138741
1276,138744
1277,138747
1278,138781
1279,139062
1280,139922
1281,140023
1282,140042
1283,140044
1284,140067
1285,140073
1286,140164
1287,140242
1288,140443
1289,140445
1290,140568
1291,140614
1292,140640
1293,140672
1294,140676
1295,140798
1296,140900
1297,140908
1298,140937
1299,141057
1300,141097
1301,141196
1302,141197
1303,141200
1304,141216
1305,141276
1306,141277
1307,141321
1308,141361
1309,141362
1310,141368
1311,141369
1312,141382
1313,141384
1314,141390
1315,141441
1316,141460
1317,141469
1318,141496
1319,141781
1320,141846
1321,141847
1322,142045
1323,142096
1324,142106
1325,142156
1326,142254
1327,142420
1328,142459
1329,142568
1330,142714
1331,142813
1332,142845
1333,142956
1334,143176
1335,143421
1336,143526
1337,143582
1338,143605
1339,143632
1340,143770
1341,143788
1342,143892
1343,143909
1344,143992
1345,144117
1346,144359
1347,144396
1348,144436
1349,144520
1350,144559
1351,144641
1352,144645
1353,144887
1354,145003
1355,145043
1356,145046
1357,145080
1358,145081
1359,145108
1360,145160
1361,145206
1362,145228
1363,145287
1364,145367
1365,145416
1366,145512
1367,145552
1368,145577
1369,145820
1370,145831
1371,145854
1372,145893
1373,145911
1374,145913
1375,145935
1376,145991
1377,146051
1378,146111
1379,146156
1380,146191
1381,146451
1382,146500
1383,146616
1384,146619
1385,146620
1386,146648
1387,146736
1388,146739
1389,146775
1390,146778
1391,147200
1392,147201
1393,147226
1394,147262
1395,147449
1396,147451
1397,147563
1398,147644
1399,147648
1400,147817
1401,147849
1402,147851
1403,147852
1404,147885
1405,147898
1406,147990
1407,148069
1408,148149
1409,148169
1410,148219
1411,148225
1412,148234
1413,148239
1414,148254
1415,148293
1416,148323
1417,148330
1418,148356
1419,148367
1420,148472
1421,148552
1422,148710
1423,148870
1424,148930
1425,149065
1426,149092
1427,149259
1428,149297
1429,149578
1430,149677
1431,149998
1432,150200
1433,150203
1434,150218
1435,150221
1436,150249
1437,150257
1438,150284
1439,150397
1440,150459
1441,150580
1442,150681
1443,150751
1444,150761
1445,150801
1446,150922
1447,151016
1448,151200
1449,151286
1450,151543
1451,151586
1452,151630
1453,151928
1454,152008
1455,152034
1456,152149
1457,152650
1458,153793
1459,153957
1460,154414
1461,154433
1462,154605
1463,154708
1464,154758
1465,154773
1466,155387
1467,155614
1468,155615
1469,155737
1470,155794
1471,155795
1472,155913
1473,155935
1474,156133
1475,156292
1476,156293
1477,156617
1478,156857
1479,156860
1480,157293
1481,157355
1482,157414
1483,157633
1484,157676
1485,157758
1486,157860
1487,157865
1488,157954
1489,157959
1490,158055
1491,158233
1492,158235
1493,158563
1494,158734
1495,158746
1496,158764
1497,159125
1498,160204
1499,160205
1500,160237
1501,160255
1502,160272
1503,160290
1504,160340
1505,160367
1506,160374
1507,160375
1508,160488
1509,160532
1510,160533
1511,160578
1512,160597
1513,160600
1514,160607
1515,160668
1516,160670
1517,160770
1518,160809
1519,160864
1520,160902
1521,160932
1522,160997
1523,161016
1524,161037
1525,161057
1526,161071
1527,161073
1528,161088
1529,161799
1530,161816
1531,161840
1532,161854
1533,161926
1534,161928
1535,162146
1536,162335
1537,162356
1538,162369
1539,162378
1540,162403
1541,162404
1542,162411
1543,162461
1544,162497
1545,162574
1546,162585
1547,162598
1548,162699
1549,162732
1550,162770
1551,162809
1552,162833
1553,162887
1554,162892
1555,162934
1556,162948
1557,162956
1558,162958
1559,163018
1560,163020
1561,163035
1562,163048
1563,163087
1564,163088
1565,163102
1566,163121
1567,163628
1568,163672
1569,163720
1570,163721
1571,163888
1572,163889
1573,163893
1574,163894
1575,163919
1576,163922
1577,163931
1578,163965
1579,163979
1580,163985
1581,163991
1582,164001
1583,164025
1584,164266
1585,164270
1586,164293
1587,164384
1588,164411
1589,164510
1590,164511
1591,164558
1592,164571
1593,164579
1594,164605
1595,164609
1596,164610
1597,164612
1598,164652
1599,164664
1600,164679
1601,164720
1602,165179
1603,165215
1604,165252
1605,165266
1606,165267
1607,165281
1608,165291
1609,165359
1610,165396
1611,165414
1612,165563
1613,165650
1614,165686
1615,165742
1616,165745
1617,165779
1618,165785
1619,165814
1620,165843
1621,165844
1622,165847
1623,165855
1624,165857
1625,165878
1626,165934
1627,165943
1628,166200
1629,166224
1630,166365
1631,166414
1632,166434
1633,166435
1634,166450
1635,166481
1636,166485
1637,166555
1638,166569
1639,166570
1640,166586
1641,166591
1642,166595
1643,166622
1644,170420
1645,170450
1646,170520
1647,170945
1648,170961
1649,170969
1650,171002
1651,171022
1652,171097
1653,174050
1654,174094
1655,174118
1656,174134
1657,174136
1658,174158
1659,174160
1660,174236
1661,174283
1662,174322
1663,174329
1664,174376
1665,174390
1666,174391
1667,174428
1668,174454
1669,174507
1670,174647
1671,174648
1672,174692
1673,174743
1674,174876
1675,175008
1676,175013
1677,175064
1678,175067
1679,175079
1680,175084
1681,175153
1682,175163
1683,175235
1684,175308
1685,175321
1686,175346
1687,175386
1688,175424
1689,175466
1690,175475
1691,175483
1692,175490
1693,175518
1694,175533
1695,175612
1696,175660
1697,175743
1698,175865
1699,175869
1700,175903
1701,175913
1702,175949
1703,175966
1704,175969
1705,175978
1706,175995
1707,176017
1708,176022
1709,176082
1710,176135
1711,176180
1712,176229
1713,176237
1714,176273
1715,176275
1716,176291
1717,176355
1718,176361
1719,176500
1720,176503
1721,176522
1722,176594
1723,176636
1724,176660
1725,176663
1726,176670
1727,176702
1728,176705
1729,176741
1730,176780
1731,176861
1732,176951
1733,176963
1734,176974
1735,176992
1736,177110
1737,177112
1738,177125
1739,177129
1740,177182
1741,177226
1742,177227
1743,177228
1744,177258
1745,177264
1746,177284
1747,177285
1748,177287
1749,177313
1750,177367
1751,177442
1752,177450
1753,177467
1754,177472
1755,177599
1756,177606
1757,177677
1758,177738
1759,177764
1760,177800
1761,177838
1762,177881
1763,177921
1764,177924
1765,177930
1766,178097
1767,178106
1768,178157
1769,178303
1770,178369
1771,178513
1772,178531
1773,178547
1774,178619
1775,178697
1776,178722
1777,178728
1778,178738
1779,178752
1780,178774
1781,178799
1782,178800
1783,178803
1784,178833
1785,178847
1786,178849
1787,178855
1788,178972
1789,179027
1790,179054
1791,179111
1792,179185
1793,179204
1794,179299
1795,179380
1796,179413
1797,179416
1798,179428
1799,179436
1800,179438
1801,179441
1802,179457
1803,179503
1804,179581
1805,179582
1806,179598
1807,179605
1808,179667
1809,179668
1810,179669
1811,179671
1812,179686
1813,179737
1814,179746
1815,179803
1816,179833
1817,179840
1818,179841
1819,179929
1820,180030
1821,180042
1822,180057
1823,180231
1824,180279
1825,180363
1826,180698
1827,181104
1828,181617
1829,181794
1830,181900
1831,182015
